Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
2,Dual carriageway,40,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Waiting,Back,Male,64,1598,Light
2,Slip road,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,55,1119,Light
2,Slip road,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,28,12900,Light
2,Single carriageway,30,Darkness lights lit,Fine and high winds,Wet or damp,Urban,Turning,Nearside,Male,33,1910,Light
2,Single carriageway,30,Darkness lights lit,Fine and high winds,Wet or damp,Urban,Going ahead,Front,Male,30,1248,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,31,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,20,1988,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,44,1951,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,35,1870,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,43,1198,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,28,1388,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,U turn,Offside,Male,30,1368,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,U turn,Front,Male,42,1796,Light
2,Single carriageway,30,Darkness lights lit,Fine and high winds,Wet or damp,Urban,Going ahead,Front,Male,53,2402,Light
2,Single carriageway,40,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Turning,Front,Male,37,1124,Light
2,Single carriageway,40,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Female,25,1390,Light
2,Dual carriageway,40,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,37,1598,Light
2,Dual carriageway,40,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Male,49,1598,Light
2,Roundabout,30,Daylight,Fine no high winds,Wet or damp,Urban,Slowing or stopping,Front,Male,26,1896,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Offside,Male,30,1998,Severe
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,36,1390,Severe
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Female,22,1200,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,36,1584,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Nearside,Male,55,1834,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,37,1388,Light
2,Dual carriageway,40,Darkness lights lit,Raining no high winds,Wet or damp,Urban,U turn,Offside,Male,24,1988,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Slowing or stopping,Front,Male,20,1910,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Reversing,Back,Female,36,1598,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Waiting,Back,Female,36,1598,Light
2,Dual carriageway,40,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,30,1998,Light
2,Roundabout,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,22,2698,Light
2,Roundabout,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,28,1108,Light
2,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Female,45,1798,Light
2,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,51,3301,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,32,1995,Light
2,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Nearside,Male,23,1598,Light
2,Single carriageway,40,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,51,1686,Light
2,Single carriageway,20,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,29,1896,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,47,1870,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,19,1339,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Changing lane,Front,Male,45,10800,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Moving off,Offside,Male,29,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Front,Female,30,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Female,44,1198,Light
2,Single carriageway,20,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,38,1998,Light
2,Dual carriageway,50,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Back,Male,31,1296,Light
4,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Parked,Offside,Female,30,1995,Severe
4,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Parked,Front,Male,30,2987,Severe
4,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Parked,Front,Male,30,1595,Severe
2,Single carriageway,20,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Front,Male,47,2151,Light
2,Single carriageway,20,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Male,42,1995,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Female,21,1242,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,24,1968,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,53,1596,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Back,Male,67,1997,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,22,1397,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,75,1761,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,48,2700,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,33,1998,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,49,1598,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,60,1896,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1396,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Female,29,1595,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Nearside,Male,67,1896,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,36,1968,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Offside,Male,30,1248,Light
2,Dual carriageway,50,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,28,1497,Light
2,Dual carriageway,50,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,18,1783,Light
2,Dual carriageway,50,Daylight,Fine no high winds,Dry,Rural,Going ahead,Front,Male,26,1896,Light
2,Dual carriageway,50,Daylight,Fine no high winds,Dry,Rural,Turning,Offside,Male,40,1240,Light
2,Roundabout,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,22,1598,Light
2,Roundabout,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Offside,Female,40,1998,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Offside,Female,19,1242,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,18,1299,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,34,2996,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,32,1596,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,50,1552,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Female,58,1149,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,41,1781,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,30,1149,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,37,1995,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,38,2776,Light
4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,38,2435,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,65,1108,Severe
2,Dual carriageway,50,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,25,1390,Light
2,Dual carriageway,50,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,23,1242,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Front,Male,90,1388,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,36,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Offside,Female,39,1596,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Nearside,Male,30,2400,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,39,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,21,1248,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Reversing,Back,Female,23,1390,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,72,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,23,1783,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,47,1998,Light
2,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Overtaking,Front,Male,39,1157,Light
2,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,46,1390,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,55,11946,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,57,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,23,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,33,1783,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,60,1360,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,30,1910,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,54,1799,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Male,61,1248,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Female,30,1998,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Female,25,1587,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,53,1596,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,64,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,37,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Overtaking,Front,Male,35,1799,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,39,2979,Light
2,Single carriageway,20,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,22,1300,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Nearside,Female,27,1398,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,32,1598,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,29,1686,Light
2,Dual carriageway,40,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,36,3199,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,41,1900,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,42,1599,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Male,73,1124,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Male,42,2351,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,21,1896,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,22,1229,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Moving off,Offside,Male,38,1896,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,32,2993,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,43,2500,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,54,2499,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,23,2171,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,45,1229,Light
2,Single carriageway,30,Darkness lights lit,Fine and high winds,Wet or damp,Urban,Going ahead,Offside,Female,19,1388,Light
2,Single carriageway,30,Darkness lights lit,Fine and high winds,Wet or damp,Urban,Going ahead,Front,Female,36,1560,Light
2,Slip road,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,79,1783,Light
2,Slip road,40,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Female,19,1794,Light
3,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,46,1299,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Nearside,Male,46,1796,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,35,1300,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,51,1997,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,33,1995,Light
2,Roundabout,20,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,47,1229,Light
2,Roundabout,20,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,46,1598,Light
7,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Overtaking,Nearside,Male,30,1388,Light
7,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,31,1868,Light
7,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,38,2497,Light
7,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,43,1995,Light
7,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,52,1497,Light
7,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Female,32,1299,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Front,Male,32,1896,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Going ahead,Back,Male,36,1248,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Male,49,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,42,1968,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,66,1299,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,24,1798,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,48,2702,Light
3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Waiting,Back,Male,81,1490,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Rural,Going ahead,Offside,Male,84,1398,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Rural,Going ahead,Front,Female,25,1396,Light
2,Single carriageway,20,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Offside,Male,47,1686,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,49,1586,Light
4,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,21,1396,Light
4,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Parked,Back,Male,36,2696,Light
4,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Parked,Back,Male,55,1762,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,19,1299,Severe
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Male,46,1951,Severe
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Female,36,1600,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Front,Male,30,8970,Light
2,Single carriageway,20,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,62,1299,Light
2,Single carriageway,20,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,41,9360,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Going ahead,Front,Male,20,1796,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Front,Female,45,1910,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,U turn,Front,Male,34,1598,Severe
3,Single carriageway,30,Darkness lights unlit,Raining no high winds,Wet or damp,Urban,Slowing or stopping,Nearside,Female,53,1242,Light
3,Single carriageway,30,Darkness lights unlit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,41,1598,Light
3,Single carriageway,30,Darkness lights unlit,Raining no high winds,Wet or damp,Urban,Waiting,Offside,Female,45,1598,Light
2,Roundabout,30,Daylight,Raining and high winds,Wet or damp,Rural,Waiting,Back,Female,52,1968,Light
2,Roundabout,30,Daylight,Raining and high winds,Wet or damp,Rural,Slowing or stopping,Front,Female,25,1397,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Waiting,Back,Female,34,1390,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Slowing or stopping,Nearside,Male,29,1796,Light
2,Single carriageway,30,Darkness lights lit,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Male,41,1753,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Female,87,1149,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,26,1390,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,25,1596,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Offside,Female,48,1246,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Male,29,1896,Severe
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,57,1198,Severe
2,Single carriageway,20,Daylight,Snowing no high winds,Snow,Urban,Going ahead,Front,Male,26,1124,Light
2,Single carriageway,20,Daylight,Snowing no high winds,Snow,Urban,Going ahead,Front,Female,23,1796,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Changing lane,Back,Male,36,1339,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,36,3175,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Male,40,2967,Light
4,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Female,52,2993,Light
3,Dual carriageway,50,Darkness lights lit,Raining no high winds,Wet or damp,Rural,Going ahead,Front,Female,42,1498,Light
3,Dual carriageway,50,Darkness lights lit,Raining no high winds,Wet or damp,Rural,Going ahead,Front,Male,47,2799,Light
3,Dual carriageway,50,Darkness lights lit,Raining no high winds,Wet or damp,Rural,Going ahead,Front,Female,47,2362,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,85,1597,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,40,1598,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Changing lane,Front,Female,26,1598,Light
2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,48,1587,Light
2,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,74,1794,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Front,Female,47,1686,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Back,Female,29,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,49,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,64,3222,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Nearside,Female,30,1149,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Front,Female,54,1796,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Female,53,1329,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Changing lane,Back,Female,38,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Male,33,1196,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,35,2967,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,32,1198,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Nearside,Male,58,2402,Light
2,Roundabout,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,46,2500,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Front,Female,51,1299,Light
2,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Back,Male,57,1968,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Offside,Male,90,1360,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,41,1460,Light
2,Roundabout,70,Daylight,Fine no high winds,Dry,Rural,Waiting,Front,Male,30,1988,Light
2,Roundabout,70,Daylight,Fine no high winds,Dry,Rural,Waiting,Back,Male,37,1598,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Offside,Male,49,1966,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Turning,Front,Male,41,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,42,1598,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Female,76,1598,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,63,1587,Light
2,Dual carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,65,1397,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,23,1398,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Back,Female,22,1560,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,82,1360,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,18,1149,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Female,30,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Back,Male,29,1668,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,53,2435,Light
2,One way street,30,Daylight,Raining no high winds,Wet or damp,Urban,Turning,Offside,Female,27,1391,Light
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Back,Female,21,1242,Severe
3,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,51,1390,Severe
3,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,34,1796,Light
3,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Female,55,1596,Light
3,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Going ahead,Back,Male,61,1461,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,40,1598,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Nearside,Female,64,1396,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,30,1997,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Male,72,1700,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Female,24,1242,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Slowing or stopping,Front,Female,57,1991,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Male,52,1896,Light
2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Urban,Waiting,Back,Female,36,1794,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,47,4580,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Male,30,1998,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Parked,Back,Male,42,1998,Light
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,28,1598,Severe
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Female,28,1388,Severe
3,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Waiting,Offside,Male,47,1388,Severe
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Female,29,1998,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Nearside,Female,33,1598,Severe
