Number_of_Vehicles,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Vehicle_Manoeuvre,1st_Point_of_Impact,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Damage
2,Single carriageway,30,Daylight,Raining and high winds,Wet or damp,Urban,Going ahead,Front,Male,26,2290,Light
2,Single carriageway,30,Daylight,Raining and high winds,Wet or damp,Urban,Waiting,Front,Male,34,1799,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,63,1596,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Male,39,1868,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Moving off,Front,Male,35,1997,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,31,1560,Light
2,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Urban,Moving off,Offside,Female,53,1596,Light
2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Turning,Offside,Female,38,1868,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Wet or damp,Urban,Going ahead,Front,Female,48,1389,Light
4,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Slowing or stopping,Front,Male,17,1171,Light
4,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Waiting,Back,Male,17,1360,Light
4,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Waiting,Back,Male,17,1368,Light
4,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Waiting,Back,Male,47,1299,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Moving off,Offside,Male,29,1995,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Female,41,1598,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Offside,Male,49,1598,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Turning,Front,Male,21,1598,Light
2,Single carriageway,30,Darkness lights lit,Raining no high winds,Dry,Urban,Moving off,Nearside,Female,40,1598,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,21,1595,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Female,18,1390,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Female,24,1124,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,32,1796,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Back,Female,43,1991,Light
3,Single carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Parked,Front,Male,42,1686,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Turning,Offside,Male,79,1399,Light
2,Single carriageway,30,Daylight,Fine no high winds,Dry,Urban,Going ahead,Front,Male,43,1598,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Going ahead,Front,Male,28,1762,Light
2,Dual carriageway,30,Darkness lights lit,Fine no high winds,Dry,Urban,Waiting,Back,Male,44,1781,Light
2,Single carriageway,30,Darkness lights lit,Fine no high winds,Wet or damp,Urban,Turning,Offside,Male,29,1849,Severe
